Damage 2.0/Puncture Damage	穿刺伤害
Sibear	西伯利亚冰锤
Firewalker	火焰行者
Infested Tumor	Infested肿瘤
Resource Drop Chance Booster	资源掉落机率加成
Crush	粉碎
Freeze Force	寒冰之力
Lightning Rod	避雷针
Prisma Daedalus Shin Guard	棱晶代达罗斯护膝板
Amprex	安培克斯
Shattering Justice	破碎正义
Characteristics	特性
Melee Weapons	近战武器
Stinger	毒刺
Loyal Companion	忠实搭档
Dragon Nikana	龙之侍刃
Magnetize	磁吸力场
Sancti Magistar	圣洁执法者
Dispel	驱散
Point Blank	抵近射击
Arid Seeker	沙漠追踪者
Arid Butcher	沙漠屠夫
Bleeding Edge	血色刃缘
Lex	雷克斯
MK1-Paris	MK1-帕里斯
Reload	装填
Threat Level	威胁等级
One-Handed Action	单手动作
Telos Akbolto	终极螺钉双枪
Meridian Trinity Helmet	经络Trinity头盔
Shade	阴影
Orokin Sabotage	堡垒破坏
Warding Grace	守护恩典
Platinum	白金
Death Mark	死亡标记
Split Chamber	分裂膛室
Galatine Prime	迦伦提恩Prime
Lethal Torrent	致命洪流
Bailiff	执法员
Referral Program	招募计划
squad	小队
Lex Prime	雷克斯Prime
Dread	恐惧
Storage Container	储存容器
Ward Recovery	火绫复苏
Akbronco	野马双枪
Spry Sights	迅敏视觉
Oddities	奇特物件
Operator	指挥官
Lieutenant Lech Kril	Lt. Lech Kril
Razor Munitions	剃刀弹药
Quanta	量子切割器
Grate	铁格栅
Sapping Osprey	基蚀鱼鹰
Crate	储存箱
Rip Line	撕裂钩索
Orokin Void	Orokin虚空
Freeze	冻结
Madurai Transmute Core	Madurai转换核心
Powers	技能
Sentinel Weapons	守护武器
Zeplen	齐柏伦飞船
Justice Blades	正义刀锋
Sure Shot	准确射手
Vaporize	汽化
Effigy	焚烧雕像
Tetra	特拉
Lethal Momentum	致命动量
Cloud Walker	觔斗游云
Crimson Dervish	赤红狂舞
Razor Shot	剃刀射击
Nunchaku	双截棍
Companions	同伴
Fang	狼牙
Fighter Escort	护卫战机
Djinn	引灵
Gemini Cross	纵横双子
AkZani	荒谬双枪
Hall of Malevolence	恶怨厅
Whirlwind	旋风
Dual Cleavers	斩肉双刀
Dual Toxocyst	毒囊双枪
Focus	专精
Silence	静音
Lecta	勒克塔
Toxic Ancient	远古剧毒者
Warframe Augment Mod	战甲强化MOD
Okina	翁
Ore Gaze	矿石凝视
Day of the Dead Weapon Skin Pack	亡灵节武器外观
Artifact Defense Event	防御
Anti-Flak Plating	抗爆覆甲
Reward System	奖励系统
Prisma Sigil	棱晶纹章
Gunslinger	神枪手
Sniper Ammo Mutation	狙击枪弹药转换
Orbiter	轨道飞行器
Armor	护甲
Soma Prime	月神Prime
Dark Dagger	暗黑匕首
Lore	背景知识
Mania	躁狂
Damage 2.0/Ferrite Armor	铁质装甲
Vicious Spread	恶性扩散
Ties That Bind	结为盟友
Bore	枪膛
Health Conversion	生命转换
Psychic Bolts	通灵螺栓
Vandal	破坏者
Ducats	杜卡德金币
Overcharged	能量超载
Mission Rewards	任务奖励
Razorwing	剃刀之翼
